"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-211",-3.67429963799993,1.53179876244106,-4.93632311934014,0.000102012826292873,0.00277323757403588,-3.05475851660047
"ebv-miR-BART22",2.02081284399996,8.80005388922814,4.87503426841548,0.00011668658132782,0.00305885538195072,-3.19166405029114
"ebv-miR-BART17-3p",3.02441532499996,7.36387653731179,4.8190083705313,0.00013197783676147,0.00334040455803169,-3.3170102124542
"hsa-miR-548h",3.77720355999992,1.09700979171863,4.30521494573059,0.000412732792853911,0.00988361980965397,-4.47257072735698
"ebv-miR-BART6-3p",1.71410253799997,7.33865348568821,4.3001528432588,0.000417428084603914,0.00988361980965397,-4.48398505547388
"hsa-miR-324-3p",4.22577201599992,1.14027350309506,4.04101200062893,0.000745795699242014,0.0167362113497775,-5.06804451590222
"hsa-miR-181c",6.59559981799998,1.87421992260837,4.03705461805381,0.000752445469404165,0.0167362113497775,-5.07695355364518
"hsa-miR-505",4.14652860899994,0.885257563406844,3.87323370397288,0.00108676399263997,0.0234613167822864,-5.44520527016267
"hsa-miR-362-5p",2.51360333699993,0.47769592773384,3.75207658360684,0.00142632062861468,0.0299119811829478,-5.71660376226933
"ebv-miR-BART7",2.89863146099995,9.26605580019011,3.60900628441347,0.00196565025450477,0.0400774246335138,-6.03559821719918
"hsa-miR-598",3.54972407399995,0.967507055007605,3.52285583157487,0.00238358796081621,0.0472852314388946,-6.22669486973501
"hsa-miR-302a",0.774372255,0.193935398365019,3.39917931744787,0.00314145149889104,0.060679615794369,-6.49943718077922
"ebv-miR-BART4",1.41650383899998,6.74947456561977,3.30993603613809,0.00383147218280606,0.0721102713379398,-6.6948817045218
"hsa-miR-548j",2.51360333699999,0.423878257228137,3.23502786249005,0.00452400506757702,0.0830154929900383,-6.85792201683207
"hsa-miR-193a-5p",6.24242045499991,1.34529290712928,3.20264463301457,0.00486009296429657,0.0870075179461873,-6.92809404662724
"hsa-miR-190b",5.38233682099992,0.809924153471483,3.07272483843307,0.00647135865889331,0.113094696562564,-7.20753440085846
"hsa-miR-365",-3.97879739799998,1.10157218961217,-3.04502141711067,0.00687693704393605,0.117387716052304,-7.26665498616163
"hsa-miR-532-5p",4.22577201599997,1.01421453907985,2.98689837969758,0.00780970134613561,0.130280017910535,-7.39011530539145
"hsa-miR-548d-5p",3.12274653099993,0.345400605768061,2.96545763614764,0.00818385856221692,0.130994484398175,-7.43545268248306
"hsa-miR-1247",2.23586355499994,0.12999404165019,2.96402528160653,0.00820946359988564,0.130994484398175,-7.43847739830619
"ebv-miR-BART19-3p",1.64061086099997,7.06988908982129,2.94206212070798,0.00861192739238357,0.134492653319352,-7.48479251066933
"hsa-miR-377",5.69238383299999,0.810577116528517,2.74149416021008,0.0132826466096854,0.197199145337061,-7.90166959585142
"hsa-miR-455-5p",4.56745087399992,2.00378593664259,2.73778219355636,0.0133886574608048,0.197199145337061,-7.90927368611351
"hsa-miR-194",6.6964173979999,2.42158316308365,2.73623146519991,0.0134331842872658,0.197199145337061,-7.91244912951158
"hsa-miR-218",4.89289833999995,1.19755255178327,2.57501691597492,0.0189180082461017,0.267781919176796,-8.23824976810766
"hsa-miR-655",2.23586355499994,0.573625087840304,2.57369025694549,0.0189709261542144,0.267781919176796,-8.24089355384987
"ebv-miR-BART21-3p",1.27509599799998,6.35519455310646,2.5544889631395,0.0197526845338782,0.273556046186162,-8.27908638436004
"hsa-miR-769-5p",4.37228669199996,1.00842452972243,2.54105878775103,0.0203174713009566,0.276167109905596,-8.30571942966611
"hsa-miR-452",5.0509130749999,1.68714901574905,2.49779199981315,0.0222423993816589,0.296834929929775,-8.39105988024719
"hsa-miR-320b",2.51360333699996,0.633992044802281,2.47284215015583,0.023429176078067,0.307089557880379,-8.43994451653946
"hsa-miR-1282",3.27953750699997,0.595650969946768,2.46032842104404,0.024046578218529,0.309652428287725,-8.46437077477337
"hsa-miR-519b-3p",2.23586355500001,0.0892828624828897,2.44273343090304,0.0249405465024891,0.312955288603387,-8.49860981401615
"hsa-miR-1275",-3.78309777899994,1.754763461673,-2.4385851248647,0.0251558065771115,0.312955288603387,-8.50666407736634
"hsa-miR-100",4.00422336599996,7.85615367874145,2.41098216792325,0.0266330689573844,0.320691735206147,-8.56007871687856
"hsa-miR-381",1.438530074,0.109206530851711,2.40265533341693,0.0270943962987744,0.320691735206147,-8.57613037851389
"hsa-miR-125b",3.75771520899996,10.5090890410722,2.38934412669932,0.0278474051486294,0.320691735206147,-8.60173031221774
"hsa-miR-759",3.42094660399996,0.360072099460076,2.38922952044781,0.0278539723929589,0.320691735206147,-8.60195039844829
"hsa-miR-199b-5p",8.09650668299993,4.68761734145247,2.381559120567,0.0282968067718488,0.320691735206147,-8.61666778958541
"hcmv-miR-UL22A",-1.91325329199997,0.983039615334601,-2.37313064507087,0.0287909747996691,0.320691735206147,-8.63281096164001
"hsa-miR-296-5p",7.9583232909999,3.69783808681369,2.37236871571051,0.0288360415852939,0.320691735206147,-8.63426880458076
"hsa-miR-487a",1.89159247099998,0.507314143794677,2.32930235013439,0.0314928010219679,0.345010685822753,-8.71626292548702
"hsa-miR-376c",7.00798533199995,2.16487332612548,2.30074417204165,0.0333780707144486,0.355284498601357,-8.77018540623085
"hsa-miR-130b",5.19811872299997,3.07597589591635,2.30044034120335,0.0333986790238333,0.355284498601357,-8.77075712619728
"ebv-miR-BART1-5p",1.89159247099997,1.95987003377186,2.28101541583641,0.0347409574481121,0.364283753813061,-8.80722232412375
"hsa-miR-145",5.17384778099994,7.64696996869582,2.26666651350018,0.0357643248438715,0.369732597681713,-8.83404795794603
"hsa-miR-95",6.18409073299997,2.40860280968441,2.23932827139721,0.0377915058190439,0.385263406544142,-8.88489332534311
"hsa-miR-149",6.38733575299988,2.3138314288365,2.2111999503931,0.0399872914308558,0.400441044121164,-8.93684032698011
"hsa-miR-1253",2.88151134399998,1.73399722691255,2.19985616248372,0.0409055350061208,0.400441044121164,-8.95768262241474
"hsa-miR-1977",4.44031743499991,3.02641487171863,2.19905218328339,0.0409713433049047,0.400441044121164,-8.95915743653924
"hsa-miR-497",8.2932897569999,4.78214535996198,2.1930881357025,0.0414625604267145,0.400441044121164,-8.9700880423104
"hsa-miR-517c+hsa-miR-519a",5.15827423299988,1.68498633324715,2.14115507718133,0.045973471645299,0.43824062581363,-9.06452793214309
"hsa-miR-424",5.66421104799995,5.08549456122433,2.11404632520546,0.0485020241435599,0.456416483607346,-9.11328686992828
"hsa-miR-1261",4.37228669199995,1.72759607505703,2.08244714621933,0.0516086131455292,0.475444769201702,-9.16964468569488
"hsa-miR-548f",1.89159247099996,0.342217220304183,2.08036424334866,0.0518195933734825,0.475444769201702,-9.17334127050013
"hsa-miR-92a",3.89237165599995,10.1685034872814,2.06901753178804,0.052982698435791,0.4801148228626,-9.19343840417015
"hsa-miR-151-3p",6.43813389399987,3.12261931694297,2.04890860961888,0.055102133573346,0.489234040379495,-9.22888698499738
"hsa-miR-421",-3.78309777899998,3.26957974314449,-2.04686175281606,0.0553221053835123,0.489234040379495,-9.23248310475647
"hsa-miR-615-5p",-5.38427694099992,2.31515271605703,-2.03941253024304,0.0561293646796636,0.490463734224679,-9.24555157728422
"hsa-miR-652",2.235863555,0.466602740528517,2.03184609758398,0.0569601847070289,0.491867947940697,-9.25879495615439
"hsa-miR-600",2.746408579,0.974268587022814,1.94939119510146,0.0667573567471292,0.569766277353405,-9.40106449845592
"hsa-miR-1180",3.87876904699995,0.370712692798479,1.94078367208094,0.067862287025782,0.572539295137057,-9.41569510054183
"hsa-miR-376a",6.72397413199986,2.83954064298479,1.88252231536895,0.0757784051463275,0.631084674742987,-9.51359155537552
"hsa-miR-183",6.1438514469999,2.79290590015209,1.87733632320765,0.0765211662835502,0.631084674742987,-9.52220846141816
"hsa-miR-185",5.63547713199994,3.14565808670342,1.84904018238096,0.0806881168037823,0.658056419266402,-9.56893977934961
"hsa-miR-664",7.93691141099991,2.62909476044867,1.8346773368723,0.08287863694265,0.668493621053902,-9.59247420966027
"hsa-miR-892b",3.54972407399999,0.702905431634981,1.81477691221882,0.0859998836562337,0.686129506561691,-9.62487284648745
"ebv-miR-BHRF1-3",7.83737844799988,3.78820635130418,1.80549676018604,0.0874902631335403,0.690514549892673,-9.63989738548556
"ebv-miR-BHRF1-1",7.70535899699986,3.8540885591673,1.79883055365944,0.0885747306173312,0.691636726309799,-9.65065679305421
